Day_of_Week,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Causes_D,Road_Feature_E,Road_Condition_F,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Year,Month,Day,Hour
1,1,501.2,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,17
5,2,666.795,1,4,4,1,1,5,5.0,2017.0,7.0,6.0,1
2,1,494.4,2,2,4,1,1,11,6.0,2017.0,7.0,11.0,15
2,2,224.2,2,3,2,2,10,11,5.0,2017.0,7.0,6.0,15
5,2,183.2,1,3,2,4,10,6,5.0,2017.0,7.0,6.0,11
5,2,221.6,2,1,2,4,6,3,5.0,2017.0,7.0,6.0,20
6,2,489.6,2,3,4,1,1,6,5.0,2016.0,9.0,1.0,20
2,2,440.4,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,8
7,2,205.6,1,3,2,4,10,11,5.0,2014.0,2.0,3.0,1
4,2,429.0,2,3,4,1,3,5,5.0,2016.0,4.0,8.0,13
3,2,492.0,2,4,4,1,11,11,5.0,2017.0,7.0,6.0,1
2,2,34.9,2,3,4,1,1,14,5.0,2023.0,10.0,7.0,4
2,2,438.86,1,2,4,1,1,9,5.0,2017.0,7.0,6.0,12
2,2,41.1,2,1,4,1,1,10,5.0,2017.0,7.0,6.0,20
4,2,241.8,1,2,2,2,10,14,6.0,2014.0,12.0,6.0,4
3,2,210.5,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,2
3,2,166.8,2,2,2,1,2,7,5.0,2017.0,7.0,6.0,19
1,2,176.9,1,3,4,1,1,1,5.0,2018.0,10.0,12.0,10
7,1,496.5,1,2,4,1,5,11,5.0,2015.0,2.0,8.0,9
7,2,246.8,1,3,4,1,5,11,5.0,2017.0,4.0,6.0,21
4,2,424.24,1,3,4,1,1,1,5.0,2017.0,7.0,6.0,23
7,1,499.25,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,15
7,2,180.0,1,4,2,1,1,5,5.0,2017.0,7.0,6.0,16
6,2,452.2,2,2,4,1,1,5,5.0,2017.0,11.0,11.0,5
1,2,237.4,1,2,4,1,2,6,5.0,2017.0,7.0,6.0,22
7,2,450.88,2,3,4,1,1,3,5.0,2017.0,7.0,6.0,0
4,2,238.3,1,3,4,4,8,1,5.0,2017.0,7.0,6.0,10
6,2,454.4,1,3,4,1,2,1,5.0,2017.0,7.0,6.0,8
7,2,226.35,1,3,2,4,10,1,1.0,2014.0,6.0,7.0,0
4,2,476.2,1,3,4,1,1,5,11.0,2017.0,4.0,5.0,23
7,2,189.6,1,2,4,1,2,1,5.0,2017.0,11.0,6.0,12
6,1,493.75,2,2,4,1,1,6,5.0,2015.0,4.0,4.0,23
6,2,179.9,1,1,2,4,9,11,5.0,2014.0,1.0,2.0,12
1,2,191.8,2,4,4,2,2,6,6.0,2017.0,7.0,6.0,11
5,1,492.55,2,3,4,1,3,1,6.0,2017.0,7.0,6.0,19
6,2,413.12,1,2,4,1,1,5,1.0,2016.0,9.0,4.0,1
4,2,479.8,1,3,4,1,1,1,5.0,2017.0,4.0,5.0,9
5,2,137.5,1,2,4,1,1,6,6.0,2017.0,7.0,6.0,18
3,2,438.5,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,12
7,2,507.4,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,15
2,1,501.7,1,2,4,1,2,5,5.0,2017.0,7.0,6.0,9
1,2,420.84,2,3,4,1,1,3,5.0,2017.0,10.0,4.0,5
6,2,469.88,1,2,4,1,3,1,1.0,2017.0,7.0,6.0,8
4,2,189.8,2,3,4,4,1,1,5.0,2017.0,7.0,6.0,10
2,1,494.62,2,2,4,1,4,6,5.0,2017.0,7.0,6.0,13
6,2,472.02,1,3,4,1,1,3,5.0,2016.0,9.0,4.0,9
2,2,41.58,1,2,4,1,1,6,5.0,2023.0,7.0,8.0,9
7,2,489.2,2,3,4,1,1,5,1.0,2017.0,5.0,2.0,12
4,2,233.1,1,2,2,2,10,5,8.0,2014.0,2.0,1.0,5
6,2,487.5,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,17
3,2,231.9,1,2,2,1,9,10,14.0,2017.0,7.0,6.0,1
7,2,206.6,1,3,4,1,2,6,5.0,2017.0,5.0,11.0,15
4,1,499.25,2,2,4,1,1,9,5.0,2016.0,5.0,5.0,13
3,2,157.9,2,2,4,1,2,3,5.0,2017.0,7.0,6.0,21
3,2,188.0,2,4,4,4,2,2,5.0,2017.0,7.0,6.0,13
5,1,496.5,1,3,4,1,1,6,5.0,2015.0,6.0,2.0,21
3,1,43.96,2,2,4,1,1,1,5.0,2017.0,7.0,6.0,20
2,2,187.8,2,2,4,3,1,6,5.0,2014.0,11.0,11.0,20
7,2,192.8,2,2,4,2,1,6,5.0,2017.0,7.0,6.0,23
7,1,496.8,2,3,4,1,1,1,5.0,2017.0,5.0,2.0,23
7,1,495.45,2,3,4,1,3,6,5.0,2016.0,3.0,1.0,0
3,1,498.75,2,4,4,1,1,6,5.0,2017.0,7.0,6.0,13
7,2,246.2,2,3,4,1,1,1,5.0,2017.0,7.0,6.0,3
1,2,211.4,2,2,2,1,2,3,5.0,2017.0,7.0,6.0,23
6,2,210.65,2,3,4,1,2,3,5.0,2017.0,7.0,6.0,14
5,2,430.4,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,20
2,2,488.1,1,1,4,1,4,6,5.0,2017.0,7.0,6.0,23
1,2,14.36,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,16
7,2,417.96,1,3,4,1,1,6,5.0,2015.0,11.0,10.0,9
6,2,152.4,1,2,4,3,2,6,5.0,2015.0,7.0,2.0,7
6,2,500.3,1,2,4,1,1,9,5.0,2017.0,7.0,6.0,5
6,2,181.8,2,1,4,1,1,14,5.0,2017.0,7.0,6.0,10
6,2,506.4,1,3,4,1,1,5,1.0,2015.0,10.0,10.0,3
6,2,508.2,1,3,4,1,1,1,1.0,2017.0,10.0,6.0,23
7,2,515.95,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,10
3,2,440.82,2,3,4,1,1,1,5.0,2017.0,8.0,3.0,10
3,2,453.68,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,11
3,2,436.4,2,2,4,1,1,11,6.0,2017.0,7.0,6.0,10
1,2,177.5,1,2,1,4,2,6,5.0,2017.0,7.0,6.0,14
6,2,226.1,2,3,4,1,2,6,5.0,2018.0,2.0,6.0,16
2,1,496.6,2,4,4,1,1,9,5.0,2017.0,7.0,6.0,14
6,2,465.5,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,6
6,2,154.4,1,2,2,1,2,5,5.0,2017.0,1.0,7.0,15
1,2,430.16,1,3,4,1,4,5,6.0,2017.0,7.0,6.0,12
4,2,486.6,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,13
2,2,220.0,2,2,4,1,1,1,5.0,2022.0,1.0,8.0,16
1,2,450.14,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,4
7,2,36.97,2,1,4,1,1,6,5.0,2017.0,7.0,6.0,23
2,2,150.5,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,19
7,2,242.2,2,3,4,1,2,6,5.0,2017.0,7.0,6.0,20
4,2,400.575,2,3,4,1,1,15,15.0,2022.0,10.0,8.0,5
5,2,35.4,1,3,4,1,1,1,5.0,2017.0,7.0,6.0,1
4,2,218.4,1,2,4,1,2,5,5.0,2017.0,7.0,12.0,13
2,2,33.5,2,2,4,1,1,5,1.0,2017.0,7.0,6.0,5
5,2,440.15,1,3,4,1,1,6,5.0,2016.0,11.0,3.0,8
7,1,25.34,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,12
6,2,426.16,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,22
4,2,130.6,1,2,4,1,1,11,9.0,2022.0,7.0,9.0,22
1,1,491.3,2,2,4,1,3,11,5.0,2017.0,7.0,6.0,18
5,2,488.9,1,3,4,1,1,6,5.0,2017.0,12.0,5.0,5
7,2,427.9,1,1,4,1,1,9,5.0,2017.0,7.0,6.0,19
3,1,492.75,1,3,4,1,3,7,6.0,2017.0,7.0,6.0,11
4,2,122.2,1,3,4,1,1,11,5.0,2017.0,7.0,6.0,4
3,2,55.4,1,2,4,1,1,1,14.0,2017.0,7.0,6.0,12
4,2,223.9,1,1,4,2,1,1,5.0,2017.0,7.0,6.0,16
1,2,190.0,1,3,4,1,2,1,5.0,2017.0,7.0,6.0,23
5,2,176.8,2,2,4,4,2,14,6.0,2017.0,7.0,6.0,10
2,1,497.4,2,3,4,1,1,11,5.0,2017.0,7.0,6.0,13
5,2,425.2,2,2,4,1,1,5,5.0,2016.0,3.0,6.0,3
6,2,165.5,2,2,2,1,10,6,5.0,2017.0,7.0,6.0,17
3,2,506.75,2,2,4,1,1,11,8.0,2017.0,7.0,6.0,22
6,2,173.6,1,3,4,4,2,6,5.0,2017.0,7.0,6.0,18
1,2,487.05,2,2,4,1,1,11,9.0,2017.0,6.0,11.0,19
1,2,492.35,1,2,4,1,1,11,5.0,2017.0,7.0,6.0,4
7,1,497.35,2,1,4,1,1,9,5.0,2017.0,7.0,6.0,20
3,2,669.695,1,2,4,1,1,6,5.0,2022.0,7.0,6.0,1
6,1,488.3,1,2,4,1,1,6,1.0,2017.0,7.0,6.0,10
1,2,403.08,1,3,4,1,3,1,5.0,2017.0,7.0,6.0,19
2,2,467.9,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,0
7,2,411.2,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,19
3,2,453.6,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,9
7,2,482.7,1,3,4,1,1,1,5.0,2017.0,7.0,6.0,0
7,2,222.2,1,3,4,2,10,10,5.0,2017.0,7.0,6.0,17
1,2,439.72,1,3,4,1,1,7,5.0,2017.0,7.0,6.0,20
7,2,102.2,2,4,4,1,1,1,5.0,2022.0,9.0,7.0,14
2,2,422.32,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,11
6,2,20.345,1,4,4,1,1,11,5.0,2022.0,12.0,8.0,17
6,2,229.2,1,2,2,1,9,2,3.0,2017.0,7.0,6.0,11
6,2,174.4,2,1,2,4,9,11,5.0,2014.0,8.0,3.0,9
7,2,520.7,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,15
7,2,186.1,2,1,4,2,2,6,5.0,2015.0,10.0,5.0,16
